judet,an,mediu,numar_someri
DAMBOVITA,2020,femei_rural,2341
DOLJ,2020,femei_rural,6357
GALATI,2020,femei_rural,3731
GIURGIU,2020,femei_rural,837
GORJ,2020,femei_rural,1509
HARGHITA,2020,femei_rural,1774
HUNEDOARA,2020,femei_rural,952
IALOMITA,2020,femei_rural,1288
IASI,2020,femei_rural,3291
ILFOV,2020,femei_rural,343
MARAMURES,2020,femei_rural,930
MEHEDINTI,2020,femei_rural,2038
MURES,2020,femei_rural,1982
NEAMT,2020,femei_rural,2789
OLT,2020,femei_rural,2938
PRAHOVA,2020,femei_rural,2752
SALAJ,2020,femei_rural,1595
SATU MARE,2020,femei_rural,1700
SIBIU,2020,femei_rural,1341
SUCEAVA,2020,femei_rural,3573
TELEORMAN,2020,femei_rural,2818
TIMIS,2020,femei_rural,967
TULCEA,2020,femei_rural,884
VALCEA,2020,femei_rural,1758
VASLUI,2020,femei_rural,2585
VRANCEA,2020,femei_rural,1813
BUCURESTI,2020,femei_rural,0
Total TARA,2020,femei_rural,82818
ALBA,2024,femei_rural,1626
ARAD,2024,femei_rural,1004
ARGES,2024,femei_rural,3114
BACAU,2024,femei_rural,1600
BIHOR,2024,femei_rural,1672
BISTRITA-NASAUD,2024,femei_rural,1443
BOTOSANI,2024,femei_rural,1392
BRAILA,2024,femei_rural,1394
BRASOV,2024,femei_rural,2047
BUZAU,2024,femei_rural,2377
CALARASI,2024,femei_rural,1425
CARAS-SEVERIN,2024,femei_rural,702
CLUJ,2024,femei_rural,1281
CONSTANTA,2024,femei_rural,1230
COVASNA,2024,femei_rural,1076
DAMBOVITA,2024,femei_rural,2081
DOLJ,2024,femei_rural,7286
GALATI,2024,femei_rural,3163
GIURGIU,2024,femei_rural,758
GORJ,2024,femei_rural,1406
HARGHITA,2024,femei_rural,1786
HUNEDOARA,2024,femei_rural,1396
IALOMITA,2024,femei_rural,1551
IASI,2024,femei_rural,3759
ILFOV,2024,femei_rural,441
MARAMURES,2024,femei_rural,1117
MEHEDINTI,2024,femei_rural,2314
MURES,2024,femei_rural,2130
NEAMT,2024,femei_rural,2716
OLT,2024,femei_rural,2504
PRAHOVA,2024,femei_rural,2192
SALAJ,2024,femei_rural,1750
SATU MARE,2024,femei_rural,2146
SIBIU,2024,femei_rural,1732
SUCEAVA,2024,femei_rural,3787
TELEORMAN,2024,femei_rural,3275
TIMIS,2024,femei_rural,1033
TULCEA,2024,femei_rural,893
VALCEA,2024,femei_rural,732
VASLUI,2024,femei_rural,3388
VRANCEA,2024,femei_rural,946
BUCURESTI,2024,femei_rural,0
Total TARA,2024,femei_rural,79665
ALBA,2019,barbati_rural,1801
ARAD,2019,barbati_rural,900
ARGES,2019,barbati_rural,3442
BACAU,2019,barbati_rural,5046
BIHOR,2019,barbati_rural,1160
BISTRITA-NASAUD,2019,barbati_rural,1108
BOTOSANI,2019,barbati_rural,1405
BRAILA,2019,barbati_rural,2040
BRASOV,2019,barbati_rural,2260
BUZAU,2019,barbati_rural,5786
CALARASI,2019,barbati_rural,1345
CARAS-SEVERIN,2019,barbati_rural,1074
CLUJ,2019,barbati_rural,1409
CONSTANTA,2019,barbati_rural,1535
COVASNA,2019,barbati_rural,1042
DAMBOVITA,2019,barbati_rural,3047
DOLJ,2019,barbati_rural,9414
GALATI,2019,barbati_rural,5299
GIURGIU,2019,barbati_rural,597
GORJ,2019,barbati_rural,1823
HARGHITA,2019,barbati_rural,2023
HUNEDOARA,2019,barbati_rural,971
IALOMITA,2019,barbati_rural,1723
IASI,2019,barbati_rural,4021
ILFOV,2019,barbati_rural,300
MARAMURES,2019,barbati_rural,1637
MEHEDINTI,2019,barbati_rural,3097
MURES,2019,barbati_rural,2757
NEAMT,2019,barbati_rural,3672
OLT,2019,barbati_rural,4120
PRAHOVA,2019,barbati_rural,2298
SALAJ,2019,barbati_rural,2101
SATU MARE,2019,barbati_rural,1530
SIBIU,2019,barbati_rural,1155
SUCEAVA,2019,barbati_rural,4802
TELEORMAN,2019,barbati_rural,4531
TIMIS,2019,barbati_rural,702
TULCEA,2019,barbati_rural,985
VALCEA,2019,barbati_rural,1769
VASLUI,2019,barbati_rural,5643
VRANCEA,2019,barbati_rural,2429
BUCURESTI,2019,barbati_rural,0
Total TARA,2019,barbati_rural,103799
ALBA,2020,barbati_rural,1854
ARAD,2020,barbati_rural,1062
ARGES,2020,barbati_rural,3940
BACAU,2020,barbati_rural,4472
BIHOR,2020,barbati_rural,1303
BISTRITA-NASAUD,2020,barbati_rural,1140
BOTOSANI,2020,barbati_rural,1296
BRAILA,2020,barbati_rural,2004
BRASOV,2020,barbati_rural,2128
BUZAU,2020,barbati_rural,5903
CALARASI,2020,barbati_rural,1284
