judet,an,categorie_varsta,numar_someri
PRAHOVA,2020,40_49,2537
SALAJ,2020,40_49,1256
SATU-MARE,2020,40_49,1387
SIBIU,2020,40_49,1420
SUCEAVA,2020,40_49,2823
TELEORMAN,2020,40_49,2326
TIMIS,2020,40_49,946
TULCEA,2020,40_49,694
VALCEA,2020,40_49,1541
VASLUI ,2020,40_49,2389
VRANCEA,2020,40_49,1354
TOTAL,2020,40_49,76358
ALBA,2024,40_49,1330
ARAD,2024,40_49,831
ARGES,2024,40_49,2155
BACAU,2024,40_49,1422
BIHOR,2024,40_49,1251
BISTRITA NASAUD,2024,40_49,1066
BOTOSANI,2024,40_49,1251
BRAILA,2024,40_49,1221
BRASOV,2024,40_49,1618
BUZAU,2024,40_49,1787
CALARASI,2024,40_49,1120
CARAS-SEVERIN,2024,40_49,714
CLUJ,2024,40_49,1183
CONSTANTA,2024,40_49,1107
COVASNA,2024,40_49,845
DAMBOVITA,2024,40_49,1356
DOLJ,2024,40_49,4786
GALATI,2024,40_49,2639
GIURGIU,2024,40_49,495
GORJ,2024,40_49,1014
HARGHITA,2024,40_49,1367
HUNEDOARA,2024,40_49,1752
IALOMITA,2024,40_49,1118
IASI,2024,40_49,2837
ILFOV,2024,40_49,246
MARAMURES,2024,40_49,1117
MEHEDINTI,2024,40_49,1809
MUNICIPIUL BUCURESTI,2024,40_49,2516
MURES,2024,40_49,1717
NEAMT,2024,40_49,2171
OLT,2024,40_49,1737
PRAHOVA,2024,40_49,1742
SALAJ,2024,40_49,1255
SATU-MARE,2024,40_49,1637
SIBIU,2024,40_49,1317
SUCEAVA,2024,40_49,3175
TELEORMAN,2024,40_49,2524
TIMIS,2024,40_49,809
TULCEA,2024,40_49,518
VALCEA,2024,40_49,624
VASLUI ,2024,40_49,2820
VRANCEA,2024,40_49,559
TOTAL,2024,40_49,64558
ALBA,2019,50_55,839
ARAD,2019,50_55,431
ARGES,2019,50_55,1412
BACAU,2019,50_55,1993
BIHOR,2019,50_55,558
BISTRITA NASAUD,2019,50_55,620
BOTOSANI,2019,50_55,682
BRAILA,2019,50_55,680
BRASOV,2019,50_55,896
BUZAU,2019,50_55,2040
CALARASI,2019,50_55,550
CARAS-SEVERIN,2019,50_55,615
CLUJ,2019,50_55,846
CONSTANTA,2019,50_55,904
COVASNA,2019,50_55,333
DAMBOVITA,2019,50_55,1154
DOLJ,2019,50_55,3395
GALATI,2019,50_55,2125
GIURGIU,2019,50_55,314
GORJ,2019,50_55,796
HARGHITA,2019,50_55,685
HUNEDOARA,2019,50_55,944
IALOMITA,2019,50_55,803
IASI,2019,50_55,1641
ILFOV,2019,50_55,119
MARAMURES,2019,50_55,914
MEHEDINTI,2019,50_55,964
MUNICIPIUL BUCURESTI,2019,50_55,2928
MURES,2019,50_55,834
NEAMT,2019,50_55,1358
OLT,2019,50_55,1677
PRAHOVA,2019,50_55,1119
SALAJ,2019,50_55,658
SATU-MARE,2019,50_55,451
SIBIU,2019,50_55,548
SUCEAVA,2019,50_55,1517
TELEORMAN,2019,50_55,1932
TIMIS,2019,50_55,533
TULCEA,2019,50_55,433
VALCEA,2019,50_55,999
VASLUI ,2019,50_55,2071
VRANCEA,2019,50_55,839
TOTAL,2019,50_55,45150
ALBA,2020,50_55,1058
ARAD,2020,50_55,817
ARGES,2020,50_55,2124
BACAU,2020,50_55,2127
BIHOR,2020,50_55,936
BISTRITA NASAUD,2020,50_55,731
BOTOSANI,2020,50_55,751
BRAILA,2020,50_55,806
BRASOV,2020,50_55,1148
BUZAU,2020,50_55,2338
CALARASI,2020,50_55,667
CARAS-SEVERIN,2020,50_55,722
CLUJ,2020,50_55,1658
CONSTANTA,2020,50_55,1141
COVASNA,2020,50_55,527
DAMBOVITA,2020,50_55,1195
DOLJ,2020,50_55,3697
GALATI,2020,50_55,2374
GIURGIU,2020,50_55,418
GORJ,2020,50_55,957
HARGHITA,2020,50_55,795
HUNEDOARA,2020,50_55,1496
IALOMITA,2020,50_55,802
IASI,2020,50_55,1881
ILFOV,2020,50_55,126
MARAMURES,2020,50_55,816
MEHEDINTI,2020,50_55,1020
MUNICIPIUL BUCURESTI,2020,50_55,3023
MURES,2020,50_55,1002
NEAMT,2020,50_55,1580
OLT,2020,50_55,1932
PRAHOVA,2020,50_55,2014
SALAJ,2020,50_55,807
SATU-MARE,2020,50_55,636
SIBIU,2020,50_55,943
SUCEAVA,2020,50_55,1653
TELEORMAN,2020,50_55,1762
TIMIS,2020,50_55,704
TULCEA,2020,50_55,576
VALCEA,2020,50_55,1239
VASLUI ,2020,50_55,1732
VRANCEA,2020,50_55,1091
TOTAL,2020,50_55,53822
ALBA,2024,50_55,1045
ARAD,2024,50_55,690
ARGES,2024,50_55,1594
BACAU,2024,50_55,1194
BIHOR,2024,50_55,800
BISTRITA NASAUD,2024,50_55,774
BOTOSANI,2024,50_55,1014
BRAILA,2024,50_55,804
BRASOV,2024,50_55,1061
BUZAU,2024,50_55,1768
CALARASI,2024,50_55,698
CARAS-SEVERIN,2024,50_55,608
CLUJ,2024,50_55,900
CONSTANTA,2024,50_55,674
COVASNA,2024,50_55,535
DAMBOVITA,2024,50_55,1090
DOLJ,2024,50_55,3691
GALATI,2024,50_55,1807
GIURGIU,2024,50_55,335
GORJ,2024,50_55,1006
HARGHITA,2024,50_55,845
HUNEDOARA,2024,50_55,1589
IALOMITA,2024,50_55,729
IASI,2024,50_55,1674
ILFOV,2024,50_55,187
MARAMURES,2024,50_55,725
MEHEDINTI,2024,50_55,1485
MUNICIPIUL BUCURESTI,2024,50_55,2345
MURES,2024,50_55,876
NEAMT,2024,50_55,1729
OLT,2024,50_55,1627
PRAHOVA,2024,50_55,1425
SALAJ,2024,50_55,798
SATU-MARE,2024,50_55,883
SIBIU,2024,50_55,687
SUCEAVA,2024,50_55,1752
TELEORMAN,2024,50_55,1989
TIMIS,2024,50_55,529
TULCEA,2024,50_55,561
VALCEA,2024,50_55,654
VASLUI ,2024,50_55,2443
VRANCEA,2024,50_55,548
TOTAL,2024,50_55,48168
ALBA,2019,peste_55,892
ARAD,2019,peste_55,515
ARGES,2019,peste_55,1472
BACAU,2019,peste_55,2671
BIHOR,2019,peste_55,706
BISTRITA NASAUD,2019,peste_55,599
BOTOSANI,2019,peste_55,870
BRAILA,2019,peste_55,1057
BRASOV,2019,peste_55,941
BUZAU,2019,peste_55,2633
CALARASI,2019,peste_55,658
CARAS-SEVERIN,2019,peste_55,712
CLUJ,2019,peste_55,827
CONSTANTA,2019,peste_55,1085
COVASNA,2019,peste_55,410
DAMBOVITA,2019,peste_55,1502
DOLJ,2019,peste_55,3620
GALATI,2019,peste_55,2489
GIURGIU,2019,peste_55,404
GORJ,2019,peste_55,1103
HARGHITA,2019,peste_55,741
HUNEDOARA,2019,peste_55,931
IALOMITA,2019,peste_55,1004
IASI,2019,peste_55,2164
ILFOV,2019,peste_55,149
MARAMURES,2019,peste_55,804
MEHEDINTI,2019,peste_55,1153
MUNICIPIUL BUCURESTI,2019,peste_55,2671
MURES,2019,peste_55,850
NEAMT,2019,peste_55,1566
OLT,2019,peste_55,1968
PRAHOVA,2019,peste_55,1358
SALAJ,2019,peste_55,654
SATU-MARE,2019,peste_55,496
SIBIU,2019,peste_55,645
SUCEAVA,2019,peste_55,1824
TELEORMAN,2019,peste_55,2118
TIMIS,2019,peste_55,534
TULCEA,2019,peste_55,277
VALCEA,2019,peste_55,756
VASLUI ,2019,peste_55,2237
VRANCEA,2019,peste_55,1254
TOTAL,2019,peste_55,51320
ALBA,2020,peste_55,945
ARAD,2020,peste_55,658
ARGES,2020,peste_55,1612
BACAU,2020,peste_55,2425
BIHOR,2020,peste_55,648
BISTRITA NASAUD,2020,peste_55,662
BOTOSANI,2020,peste_55,888
BRAILA,2020,peste_55,1063
BRASOV,2020,peste_55,1052
BUZAU,2020,peste_55,2705
CALARASI,2020,peste_55,676
CARAS-SEVERIN,2020,peste_55,747
CLUJ,2020,peste_55,891
CONSTANTA,2020,peste_55,1230
COVASNA,2020,peste_55,489
DAMBOVITA,2020,peste_55,1215
DOLJ,2020,peste_55,3671
GALATI,2020,peste_55,2501
GIURGIU,2020,peste_55,423
GORJ,2020,peste_55,1013
HARGHITA,2020,peste_55,785
HUNEDOARA,2020,peste_55,846
IALOMITA,2020,peste_55,952
IASI,2020,peste_55,2313
ILFOV,2020,peste_55,90
MARAMURES,2020,peste_55,561
MEHEDINTI,2020,peste_55,1167
MUNICIPIUL BUCURESTI,2020,peste_55,2407
